local,parameter,value,season,month,hour
2017-03-03 05:00:00+05:45,pm25,106.1,spring,3,5
2017-03-03 06:00:00+05:45,pm25,134.5,spring,3,6
2017-03-03 07:00:00+05:45,pm25,154.7,spring,3,7
2017-03-03 08:00:00+05:45,pm25,155.4,spring,3,8
2017-03-03 09:00:00+05:45,pm25,178.7,spring,3,9
2017-03-03 10:00:00+05:45,pm25,143.8,spring,3,10
2017-03-03 11:00:00+05:45,pm25,106.4,spring,3,11
2017-03-03 12:00:00+05:45,pm25,72.1,spring,3,12
2017-03-03 13:00:00+05:45,pm25,48.0,spring,3,13
2017-03-03 14:00:00+05:45,pm25,40.0,spring,3,14
2017-03-03 15:00:00+05:45,pm25,36.0,spring,3,15
2017-03-03 16:00:00+05:45,pm25,48.5,spring,3,16
2017-03-03 17:00:00+05:45,pm25,41.7,spring,3,17
2017-03-03 18:00:00+05:45,pm25,42.3,spring,3,18
2017-03-03 19:00:00+05:45,pm25,59.6,spring,3,19
2017-03-03 20:00:00+05:45,pm25,70.3,spring,3,20
2017-03-03 21:00:00+05:45,pm25,146.6,spring,3,21
2017-03-03 22:00:00+05:45,pm25,180.3,spring,3,22
2017-03-03 23:00:00+05:45,pm25,180.3,spring,3,23
2017-03-04 00:00:00+05:45,pm25,142.1,spring,3,0
2017-03-04 01:00:00+05:45,pm25,112.9,spring,3,1
2017-03-04 02:00:00+05:45,pm25,105.5,spring,3,2
2017-03-04 03:00:00+05:45,pm25,92.8,spring,3,3
2017-03-04 04:00:00+05:45,pm25,92.8,spring,3,4
2017-03-04 05:00:00+05:45,pm25,105.11666666666666,spring,3,5
2017-03-04 06:00:00+05:45,pm25,117.43333333333332,spring,3,6
2017-03-04 07:00:00+05:45,pm25,129.75,spring,3,7
2017-03-04 08:00:00+05:45,pm25,142.06666666666666,spring,3,8
2017-03-04 09:00:00+05:45,pm25,154.38333333333333,spring,3,9
2017-03-04 10:00:00+05:45,pm25,166.7,spring,3,10
2017-03-04 11:00:00+05:45,pm25,166.13302752293578,spring,3,11
2017-03-04 12:00:00+05:45,pm25,165.56605504587154,spring,3,12
2017-03-04 13:00:00+05:45,pm25,164.99908256880732,spring,3,13
2017-03-04 14:00:00+05:45,pm25,164.4321100917431,spring,3,14
2017-03-04 15:00:00+05:45,pm25,163.8651376146789,spring,3,15
2017-03-04 16:00:00+05:45,pm25,163.29816513761466,spring,3,16
2017-03-04 17:00:00+05:45,pm25,162.73119266055045,spring,3,17
2017-03-04 18:00:00+05:45,pm25,162.16422018348624,spring,3,18
2017-03-04 19:00:00+05:45,pm25,161.597247706422,spring,3,19
2017-03-04 20:00:00+05:45,pm25,161.03027522935778,spring,3,20
2017-03-04 21:00:00+05:45,pm25,160.46330275229357,spring,3,21
2017-03-04 22:00:00+05:45,pm25,159.89633027522936,spring,3,22
2017-03-04 23:00:00+05:45,pm25,159.32935779816512,spring,3,23
2017-03-05 00:00:00+05:45,pm25,158.7623853211009,spring,3,0
2017-03-05 01:00:00+05:45,pm25,158.1954128440367,spring,3,1
2017-03-05 02:00:00+05:45,pm25,157.62844036697246,spring,3,2
2017-03-05 03:00:00+05:45,pm25,157.06146788990824,spring,3,3
2017-03-05 04:00:00+05:45,pm25,156.49449541284403,spring,3,4
2017-03-05 05:00:00+05:45,pm25,155.92752293577982,spring,3,5
2017-03-05 06:00:00+05:45,pm25,155.36055045871558,spring,3,6
2017-03-05 07:00:00+05:45,pm25,154.79357798165137,spring,3,7
2017-03-05 08:00:00+05:45,pm25,154.22660550458716,spring,3,8
2017-03-05 09:00:00+05:45,pm25,153.65963302752291,spring,3,9
2017-03-05 10:00:00+05:45,pm25,153.0926605504587,spring,3,10
2017-03-05 11:00:00+05:45,pm25,152.5256880733945,spring,3,11
2017-03-05 12:00:00+05:45,pm25,151.95871559633028,spring,3,12
2017-03-05 13:00:00+05:45,pm25,151.39174311926604,spring,3,13
2017-03-05 14:00:00+05:45,pm25,150.82477064220183,spring,3,14
2017-03-05 15:00:00+05:45,pm25,150.25779816513761,spring,3,15
2017-03-05 16:00:00+05:45,pm25,149.6908256880734,spring,3,16
2017-03-05 17:00:00+05:45,pm25,149.12385321100916,spring,3,17
2017-03-05 18:00:00+05:45,pm25,148.55688073394495,spring,3,18
2017-03-05 19:00:00+05:45,pm25,147.98990825688074,spring,3,19
2017-03-05 20:00:00+05:45,pm25,147.4229357798165,spring,3,20
2017-03-05 21:00:00+05:45,pm25,146.8559633027523,spring,3,21
2017-03-05 22:00:00+05:45,pm25,146.28899082568807,spring,3,22
2017-03-05 23:00:00+05:45,pm25,145.72201834862386,spring,3,23
2017-03-06 00:00:00+05:45,pm25,145.15504587155962,spring,3,0
2017-03-06 01:00:00+05:45,pm25,144.5880733944954,spring,3,1
2017-03-06 02:00:00+05:45,pm25,144.0211009174312,spring,3,2
2017-03-06 03:00:00+05:45,pm25,143.45412844036696,spring,3,3
2017-03-06 04:00:00+05:45,pm25,142.88715596330275,spring,3,4
2017-03-06 05:00:00+05:45,pm25,142.32018348623853,spring,3,5
2017-03-06 06:00:00+05:45,pm25,141.75321100917432,spring,3,6
2017-03-06 07:00:00+05:45,pm25,141.18623853211008,spring,3,7
2017-03-06 08:00:00+05:45,pm25,140.61926605504587,spring,3,8
2017-03-06 09:00:00+05:45,pm25,140.05229357798166,spring,3,9
2017-03-06 10:00:00+05:45,pm25,139.48532110091742,spring,3,10
2017-03-06 11:00:00+05:45,pm25,138.9183486238532,spring,3,11
2017-03-06 12:00:00+05:45,pm25,138.351376146789,spring,3,12
2017-03-06 13:00:00+05:45,pm25,137.78440366972478,spring,3,13
2017-03-06 14:00:00+05:45,pm25,137.21743119266054,spring,3,14
2017-03-06 15:00:00+05:45,pm25,136.65045871559633,spring,3,15
2017-03-06 16:00:00+05:45,pm25,136.08348623853212,spring,3,16
2017-03-06 17:00:00+05:45,pm25,135.51651376146788,spring,3,17
2017-03-06 18:00:00+05:45,pm25,134.94954128440367,spring,3,18
2017-03-06 19:00:00+05:45,pm25,134.38256880733945,spring,3,19
2017-03-06 20:00:00+05:45,pm25,133.81559633027524,spring,3,20
2017-03-06 21:00:00+05:45,pm25,133.248623853211,spring,3,21
2017-03-06 22:00:00+05:45,pm25,132.6816513761468,spring,3,22
2017-03-06 23:00:00+05:45,pm25,132.11467889908255,spring,3,23
2017-03-07 00:00:00+05:45,pm25,131.54770642201834,spring,3,0
2017-03-07 01:00:00+05:45,pm25,130.98073394495412,spring,3,1
2017-03-07 02:00:00+05:45,pm25,130.4137614678899,spring,3,2
2017-03-07 03:00:00+05:45,pm25,129.8467889908257,spring,3,3
2017-03-07 04:00:00+05:45,pm25,129.27981651376146,spring,3,4
2017-03-07 05:00:00+05:45,pm25,128.71284403669725,spring,3,5
2017-03-07 06:00:00+05:45,pm25,128.145871559633,spring,3,6
2017-03-07 07:00:00+05:45,pm25,127.5788990825688,spring,3,7
2017-03-07 08:00:00+05:45,pm25,127.01192660550458,spring,3,8
2017-03-07 09:00:00+05:45,pm25,126.44495412844037,spring,3,9
2017-03-07 10:00:00+05:45,pm25,125.87798165137615,spring,3,10
2017-03-07 11:00:00+05:45,pm25,125.31100917431192,spring,3,11
2017-03-07 12:00:00+05:45,pm25,124.74403669724771,spring,3,12
2017-03-07 13:00:00+05:45,pm25,124.17706422018348,spring,3,13
2017-03-07 14:00:00+05:45,pm25,123.61009174311926,spring,3,14
